,mnc,rating,reviews
463,Microsoft Corporation,3.8,(2.2k)
464,Power Mech Projects,3.8,(2.2k)
465,Kotak Securities,3.4,(2.2k)
466,Force Motors,3.7,(2.1k)
467,CitiusTech,3.1,(2.1k)
468,Pfizer,3.9,(2.1k)
469,"Maruti Suzuki India Limited, Hansalpur",4.2,(2.1k)
470,Provana,4.1,(2.1k)
471,EPAM Systems,3.7,(2.1k)
472,IndusInd General Insurance,3.6,(2.1k)
473,Huawei Technologies,4.1,(2.1k)
474,Biological E,4.2,(2.1k)
475,SGS,3.7,(2.1k)
476,ITC Hotels,4.1,(2.1k)
477,Simplex Infrastructures,3.4,(2.1k)
478,Reliance Trends,4.1,(2.1k)
479,K12 Techno Services,3.7,(2.1k)
480,Morgan Stanley,3.6,(2.1k)
481,Raymond Lifestyle Limited,4.2,(2.1k)
482,Delphi TVS,3.8,(2.1k)
483,Aditya Birla Health Insurance Co,3.7,(2.1k)
484,Ola Cabs,3.2,(2.1k)
485,Renault-Nissan,4.1,(2.1k)
486,YASH Technologies,3.6,(2.1k)
487,Extramarks Education,3.2,(2.1k)
488,Narayana Health,4.0,(2.1k)
489,Shadowfax Technologies,3.5,(2k)
490,Trent,3.8,(2k)
491,IDBI Bank,3.3,(2k)
492,Haier Appliances India,3.9,(2k)
493,Novartis,4.2,(2k)
494,Senco Gold,4.4,(2k)
495,AECOM,4.2,(2k)
496,Honeywell Automation,3.8,(2k)
497,HSBC Electronic Data Processing,4.0,(2k)
498,R.R. Donnelley,3.6,(2k)
499,Schindler,3.9,(2k)
500,SAP,4.1,(2k)
501,Motherson Automotive Technologies and Engineering,3.7,(2k)
502,L&T Energy Hydrocarbon,3.8,(2k)
503,Paisabazaar.com,3.4,(2k)
504,Ninjacart,3.7,(2k)
505,Globiva,3.0,(2k)
506,Aye Finance,4.1,(2k)
507,CMS Infosystems,3.5,(2k)
508,V-Guard,4.3,(2k)
509,Uflex,3.8,(2k)
510,NCR Voyix,3.4,(2k)
511,TELUS Digital,3.5,(2k)
512,Crisil,3.5,(2k)
513,Spinny,3.6,(2k)
514,Dr Lal PathLabs,4.2,(2k)
515,State Street Syntel,3.7,(2k)
516,Adecco Group,3.8,(2k)
517,CNH (Case New Holland),3.7,(2k)
518,Microland,3.5,(2k)
519,Aadhar Housing Finance,4.0,(2k)
520,Gabriel India Limited,4.0,(2k)
521,Godrej Properties,3.6,(2k)
522,Philips,3.8,(2k)
523,Parle Products,3.9,(2k)
524,Tata Power,3.9,(2k)
525,HTC Global Services,3.3,(2k)
526,G R Infraprojects,4.1,(2k)
527,Angel One,3.5,(1.9k)
528,Trident Group,3.3,(1.9k)
529,DHL Supply Chain,4.2,(1.9k)
530,CSB Bank,3.2,(1.9k)
531,ICICI Home Finance,3.7,(1.9k)
532,Verizon,3.5,(1.9k)
533,NTPC,4.2,(1.9k)
534,Lucas-TVS,3.9,(1.9k)
535,Iris Software,3.7,(1.9k)
536,Google,4.4,(1.9k)
537,Thomson Reuters,3.7,(1.9k)
538,NeoSOFT,3.3,(1.9k)
539,Infinx,3.7,(1.9k)
540,Safexpress,3.9,(1.9k)
541,PI Industries,3.8,(1.9k)
542,Rungta Mines,4.0,(1.9k)
543,Torrent Power,3.7,(1.9k)
544,Polycab Wires,4.0,(1.9k)
545,Jindal Saw,4.0,(1.9k)
546,Medi Assist India,3.4,(1.9k)
547,Orchids International School,3.9,(1.9k)
548,Hindustan Aeronautics,4.3,(1.9k)
549,Capri Global Capital,3.6,(1.9k)
550,Tekwissen,4.9,(1.9k)
551,Tata Tele Business Services,3.5,(1.9k)
552,TVS Sundram Fasteners,3.6,(1.9k)
553,Fusion CX,3.2,(1.9k)
554,Aragen Life Sciences,3.9,(1.9k)
555,Infra.Market,3.9,(1.9k)
556,AXA Global Business Services,3.7,(1.9k)
557,KENT RO Systems,3.7,(1.9k)
558,First American (India),3.6,(1.9k)
559,Digit Insurance,3.6,(1.9k)
560,Haldiram Foods International Limited,3.8,(1.8k)
561,AkzoNobel,4.1,(1.8k)
562,Honda Cars,4.3,(1.8k)
563,Hindustan Petroleum,4.2,(1.8k)
564,Adani Green Energy,3.9,(1.8k)
565,DIVI'S Laboratories,3.6,(1.8k)
566,Innovsource Services,3.9,(1.8k)
567,Sterling & Wilson,4.1,(1.8k)
568,MetLife,4.0,(1.8k)
569,Cafe Coffee Day,3.7,(1.8k)
570,Pine Labs,3.2,(1.8k)
571,Air India,3.4,(1.8k)
572,Reckitt Benckiser,3.9,(1.8k)
573,SS&C TECHNOLOGIES,3.2,(1.8k)
574,USHA International,4.0,(1.8k)
575,USV,4.0,(1.8k)
576,LivSpace,3.3,(1.8k)
577,HDFC Securities,3.4,(1.8k)
578,Annapurna Finance,3.8,(1.8k)
579,XBP Global,3.2,(1.8k)
580,Stellar Migration,1.3,(1.8k)
581,Kalyan Jewellers,4.4,(1.8k)
582,Tata Communications Transformation Services,3.8,(1.8k)
583,Security and Intelligence Services (India),4.1,(1.8k)
584,BT Business,3.9,(1.8k)
585,Granules India Limited,3.8,(1.8k)
586,Hitachi Astemo,4.1,(1.8k)
587,Bata,3.5,(1.8k)
588,BVG India,4.2,(1.7k)
589,Cushman & Wakefield,4.1,(1.7k)
590,NielsenIQ,3.4,(1.7k)
591,TTEC India,3.7,(1.7k)
592,Vedantu,3.2,(1.7k)
593,Orange Business,4.0,(1.7k)
594,IIFL SAMASTA,3.7,(1.7k)
595,Mother Dairy Fruit & Vegetable,4.0,(1.7k)
596,Dhani Loans and Services,3.9,(1.7k)
597,HighRadius,2.4,(1.7k)
598,Future Retail,4.4,(1.7k)
599,Medanta the Medicity,4.0,(1.7k)
600,FactSet,3.6,(1.7k)
601,Metro Cash & Carry,4.0,(1.7k)
602,Caterpillar Inc,4.1,(1.7k)
603,Cavinkare,3.9,(1.7k)
604,Sysnet Global Technologies,3.6,(1.7k)
605,Indian Navy,4.6,(1.7k)
606,Tata 1mg,3.6,(1.7k)
607,Frankfinn Institute of Air Hostess Training,3.9,(1.7k)
608,Patanjali Foods,3.7,(1.7k)
609,Clover Infotech,3.3,(1.7k)
610,Health Care Global Enterprises,4.4,(1.7k)
611,Compass Group Support Services,4.0,(1.7k)
612,NEC,4.0,(1.7k)
613,L.G.Balakrishnan & Bros,3.5,(1.7k)
614,KONE,4.1,(1.7k)
615,Shriram Life Insurance,3.5,(1.7k)
616,Rane (Madras),3.8,(1.7k)
617,ReNew,4.2,(1.7k)
618,Yamaha Motor,4.1,(1.7k)
619,MagicBricks,3.9,(1.7k)
620,DHL Express,4.1,(1.7k)
621,CG Power and Industrial Solutions,3.8,(1.7k)
622,BA Continuum,3.9,(1.7k)
623,Suryoday Small Finance Bank,3.9,(1.7k)
624,Vardhman Fabrics,4.0,(1.7k)
625,JSW Bhushan Power & Steel,4.0,(1.7k)
626,Matrimony.com,3.9,(1.7k)
627,Toyota Kirloskar Motor,4.3,(1.7k)
628,Labmentix,4.5,(1.6k)
